skew,method,bucket_type,class_start_capacity,node_count,sum_capacity
1,Offset,Linear,0,478248,1291494
1,Offset,Linear,8,133019,1467825
1,Offset,Linear,16,76942,1479508
1,Offset,Linear,24,53922,1472102
1,Offset,Linear,32,42056,1487459
1,Offset,Linear,40,33882,1470134
1,Offset,Linear,48,28937,1487429
1,Offset,Linear,56,24759,1470681
1,Offset,Linear,64,21855,1473269
1,Offset,Linear,72,19441,1466658
1,Offset,Linear,80,17792,1484408
1,Offset,Linear,88,16209,1481963
1,Offset,Linear,96,14730,1464907
1,Offset,Linear,104,13625,1463694
1,Offset,Linear,112,12701,1466160
1,Offset,Linear,120,11882,1466816
1,Offset,Log2,1,184124,184124
1,Offset,Log2,2,154247,370224
1,Offset,Log2,4,139877,737146
1,Offset,Log2,8,133019,1467825
1,Offset,Log2,16,130864,2951610
1,Offset,Log2,32,129634,5915703
1,Offset,Log2,64,128235,11767875
1,Scaled,Linear,0,478033,1291706
1,Scaled,Linear,8,133705,1474664
1,Scaled,Linear,16,76853,1478406
1,Scaled,Linear,24,53660,1464676
1,Scaled,Linear,32,41719,1474531
1,Scaled,Linear,40,33874,1469935
1,Scaled,Linear,48,28725,1476218
1,Scaled,Linear,56,24850,1477010
1,Scaled,Linear,64,21917,1478041
1,Scaled,Linear,72,19556,1475206
1,Scaled,Linear,80,17790,1484853
1,Scaled,Linear,88,16140,1475826
1,Scaled,Linear,96,14771,1468908
1,Scaled,Linear,104,13688,1470345
1,Scaled,Linear,112,12791,1477297
1,Scaled,Linear,120,11928,1472517
1,Scaled,Log2,1,184109,184109
1,Scaled,Log2,2,153568,368641
1,Scaled,Log2,4,140356,738956
1,Scaled,Log2,8,133705,1474664
1,Scaled,Log2,16,130513,2943082
1,Scaled,Log2,32,129168,5897694
1,Scaled,Log2,64,128581,11802993
2,Offset,Linear,0,923952,1587522
2,Offset,Linear,8,41676,440372
2,Offset,Linear,16,13219,250883
2,Offset,Linear,24,6576,178362
2,Offset,Linear,32,3974,140233
2,Offset,Linear,40,2607,112845
2,Offset,Linear,48,1816,93281
2,Offset,Linear,56,1448,86104
2,Offset,Linear,64,1063,71614
2,Offset,Linear,72,821,61897
2,Offset,Linear,80,680,56673
2,Offset,Linear,88,573,52366
2,Offset,Linear,96,473,46968
2,Offset,Linear,104,442,47568
2,Offset,Linear,112,362,41704
2,Offset,Linear,120,318,39232
2,Offset,Log2,1,610771,610771
2,Offset,Log2,2,220397,508863
2,Offset,Log2,4,92784,467888
2,Offset,Log2,8,41676,440372
2,Offset,Log2,16,19795,429245
2,Offset,Log2,32,9845,432463
2,Offset,Log2,64,4732,418022
2,Scaled,Linear,0,923143,1585038
2,Scaled,Linear,8,41868,442870
2,Scaled,Linear,16,13665,258931
2,Scaled,Linear,24,6665,180583
2,Scaled,Linear,32,3939,138549
2,Scaled,Linear,40,2556,110541
2,Scaled,Linear,48,1928,98915
2,Scaled,Linear,56,1434,85166
2,Scaled,Linear,64,1060,71289
2,Scaled,Linear,72,819,61740
2,Scaled,Linear,80,696,58017
2,Scaled,Linear,88,633,57865
2,Scaled,Linear,96,519,51594
2,Scaled,Linear,104,393,42247
2,Scaled,Linear,112,363,41918
2,Scaled,Linear,120,319,39380
2,Scaled,Log2,1,609835,609835
2,Scaled,Log2,2,220861,509231
2,Scaled,Log2,4,92447,465972
2,Scaled,Log2,8,41868,442870
2,Scaled,Log2,16,20330,439514
2,Scaled,Log2,32,9857,433171
2,Scaled,Log2,64,4802,424050
